RECORD,RECORDID,SpeciesCommonName,SpeciesScientificName,SpeciesAbbreviation,AGE,WANPLUM,PLPHASE,SEX,COUNT,NFEED,OCFEED,NSOW,OCSOW,NSOICE,OCSOICE,OCSOSHP,OCINHD,NFLYP,OCFLYP,NACC,OCACC,NFOLL,OCFOL,OCMOULT,OCNATFED,
1,1083001,Royal / Wandering albatross,Diomedea epomophora / sanfordi / antipodensis / exulans ,DIOEPOSANANTEXU,,,,,6,0,N,0,N,0,N,N,N,0,N,6,Y,0,N,U,N,
2,1083001,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,,,,,2,0,N,0,N,0,N,N,N,0,N,2,Y,0,N,U,N,
3,1083001,Cape petrel,Daption capense ,DAPCAP,,,,,8,0,N,0,N,0,N,N,N,0,N,8,Y,0,N,U,N,
4,1083001,Fairy prion,Pachyptila turtur ,PACTUR,,,,,2,0,N,0,N,0,N,N,N,0,N,2,Y,0,N,U,N,
5,1083001,Sooty shearwater,Puffinus griseus ,PUFGRI,,,,,4,0,N,0,N,0,N,N,N,0,N,4,Y,0,N,U,N,
6,1084001,Royal albatross sensu lato ,Diomedea epomophora / sanfordi,DIOEPOSAN,,,,,10,0,N,2,Y,0,N,N,N,0,N,0,N,8,Y,U,N,
7,1084001,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,,,,,2,0,N,0,N,0,N,N,N,0,N,0,N,2,Y,U,N,
8,1084001,Sooty shearwater,Puffinus griseus ,PUFGRI,,,,,18,,Y,,N,,N,N,N,,N,,Y,,N,U,N,
9,1084002,Royal albatross sensu lato ,Diomedea epomophora / sanfordi,DIOEPOSAN,,,,,10,0,N,0,N,0,N,N,N,0,N,0,N,10,Y,U,N,
10,1084002,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,,,,,2,0,N,0,N,0,N,N,N,0,N,0,N,2,Y,U,N,
11,1084002,Cape petrel,Daption capense ,DAPCAP,,,,,2,,U,,U,,U,U,U,,U,,U,,U,U,U,
12,1084002,Prion (unidentified),Pachyptila sp,PACSP,,,,,2,,N,,N,,N,N,N,,N,,Y,,N,U,N,
13,1084002,Sooty shearwater,Puffinus griseus ,PUFGRI,,,,,8,,Y,,N,,N,N,N,,N,,N,,Y,U,N,
14,1084002,Seabird (Unidentified),,SEABUN,,,,,1,0,N,0,N,0,N,N,N,0,N,0,N,1,Y,U,N,
15,1084003,Royal albatross sensu lato ,Diomedea epomophora / sanfordi,DIOEPOSAN,,,,,14,0,N,0,N,0,N,N,N,0,N,0,N,14,Y,U,N,
16,1084003,Black-browed albatross sensu lato,Diomedea impavida / melanophrys,DIOIMPMEL,,,,,4,0,N,0,N,0,N,N,N,0,N,0,N,4,Y,U,N,
17,1084003,Giant petrel sensu lato,Macronectes sp.,MACSP,,,,,3,0,N,0,N,0,N,N,N,0,N,0,N,3,Y,U,N,
18,1084003,Cape petrel,Daption capense ,DAPCAP,,,,,8,0,N,0,N,0,N,N,N,0,N,8,Y,0,N,U,N,
19,1084003,Fairy prion,Pachyptila turtur ,PACTUR,,,,,18,,Y,,N,,N,N,N,,N,,Y,,N,U,U,
20,1086001,Fairy prion,Pachyptila turtur ,PACTUR,,,,,6,0,N,0,N,0,N,N,N,0,N,6,Y,0,N,U,N,
21,1086001,Black petrel,Procellaria parkinsoni ,PROPAR,,,,,55,,Y,,Y,,N,N,N,,N,,Y,,N,U,U,
